"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.026550750E-1,-7.333092391E-2,-1.831246614E-1,9.674364090E0,9.676374973E0
6.050938250E-1,-7.093682885E-2,-1.783364713E-1,9.657605171E0,9.659512077E0
6.075334600E-1,-8.530142903E-2,-1.711541712E-1,9.652816772E0,9.654710857E0
6.099726790E-1,-8.290731907E-2,-1.735482514E-1,9.679152489E0,9.681063243E0
6.124113250E-1,-7.333092391E-2,-1.879128516E-1,9.679152489E0,9.681254132E0
6.148503350E-1,-6.854273379E-2,-1.711541712E-1,9.664787292E0,9.666545674E0
6.172895540E-1,-7.093682885E-2,-1.807305813E-1,9.655211449E0,9.657163336E0
6.197293980E-1,-8.290731907E-2,-1.735482514E-1,9.671970367E0,9.673882541E0
6.221685120E-1,-8.530142903E-2,-1.855187416E-1,9.657605171E0,9.659763516E0
6.246073660E-1,-8.051322401E-2,-1.759423912E-1,9.671970367E0,9.673905566E0
6.270474710E-1,-7.333092391E-2,-1.831246614E-1,9.679152489E0,9.681162377E0
6.294869500E-1,-5.896633118E-2,-1.879128516E-1,9.679152489E0,9.681155983E0
6.319259080E-1,-6.136043742E-2,-1.998833418E-1,9.676757812E0,9.679016490E0
6.343652310E-1,-5.417813361E-2,-1.783364713E-1,9.650423050E0,9.652222760E0
6.368046580E-1,-1.020601094E-1,-1.759423912E-1,9.659998894E0,9.662140064E0
6.392442940E-1,-8.051322401E-2,-1.831246614E-1,9.652816772E0,9.654889366E0
6.416829910E-1,-8.530142903E-2,-1.759423912E-1,9.662393570E0,9.664371762E0
6.441214810E-1,-7.333092391E-2,-1.950951517E-1,9.679152489E0,9.681396203E0
6.465612210E-1,-8.051322401E-2,-1.567895710E-1,9.667181015E0,9.668787624E0
6.490003350E-1,-9.248372167E-2,-1.974892616E-1,9.669576645E0,9.672035346E0
6.514392410E-1,-6.614863127E-2,-1.974892616E-1,9.683939934E0,9.686179344E0
6.538785640E-1,-6.854273379E-2,-1.759423912E-1,9.679152489E0,9.680994098E0
6.563176790E-1,-8.769552410E-2,-1.663659811E-1,9.676757812E0,9.678585119E0
6.587573660E-1,-1.068483144E-1,-1.950951517E-1,9.669576645E0,9.672134778E0
6.611964810E-1,-6.375452876E-2,-1.855187416E-1,9.659998894E0,9.661990503E0
6.636351790E-1,-7.811912894E-2,-2.022774518E-1,9.667181015E0,9.669612585E0
6.660749710E-1,-8.769552410E-2,-1.855187416E-1,9.652816772E0,9.654997636E0
6.685141370E-1,-7.093682885E-2,-1.687600613E-1,9.667181015E0,9.668914146E0
6.709529390E-1,-6.614863127E-2,-1.567895710E-1,9.652816772E0,9.654316664E0
6.733922620E-1,-7.333092391E-2,-1.687600613E-1,9.683939934E0,9.685687896E0
6.758315330E-1,-5.657223612E-2,-1.855187416E-1,9.659998894E0,9.661945780E0
6.782710120E-1,-8.530142903E-2,-1.950951517E-1,9.657605171E0,9.659952179E0
6.807099190E-1,-8.051322401E-2,-1.903069317E-1,9.674364090E0,9.676570656E0
6.831485640E-1,-8.051322401E-2,-2.046715319E-1,9.671970367E0,9.674470714E0
