"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.845656850E-1,-9.487781674E-2,-2.357948273E-1,9.628876686E0,9.632230647E0
5.870046430E-1,-9.248372167E-2,-2.214302421E-1,9.616905212E0,9.619898672E0
5.894440180E-1,-1.044542119E-1,-2.429771274E-1,9.638452530E0,9.642080467E0
5.918833930E-1,-9.248372167E-2,-2.453712225E-1,9.643239975E0,9.646804522E0
5.943231850E-1,-8.769552410E-2,-2.525535226E-1,9.681546211E0,9.685236746E0
5.967622470E-1,-8.769552410E-2,-2.693122029E-1,9.671970367E0,9.676116491E0
5.992012060E-1,-9.248372167E-2,-2.621299326E-1,9.710275650E0,9.714253370E0
6.016408410E-1,-7.093682885E-2,-2.501594424E-1,9.681546211E0,9.685037368E0
6.040795910E-1,-8.530142903E-2,-2.621299326E-1,9.688728333E0,9.692649026E0
6.065184970E-1,-8.051322401E-2,-2.525535226E-1,9.681546211E0,9.685174376E0
6.089579770E-1,-7.811912894E-2,-2.597358227E-1,9.659998894E0,9.663805872E0
6.113969870E-1,-9.727191925E-2,-2.429771274E-1,9.628876686E0,9.632433023E0
6.138363620E-1,-7.093682885E-2,-2.429771274E-1,9.614511490E0,9.617842851E0
6.162750600E-1,-1.092424095E-1,-2.357948273E-1,9.592964172E0,9.596483456E0
6.187131850E-1,-7.811912894E-2,-2.453712225E-1,9.631270409E0,9.634712207E0
6.211527680E-1,-9.727191925E-2,-2.405830324E-1,9.616905212E0,9.620405807E0
6.235921430E-1,-9.966601431E-2,-2.453712225E-1,9.588175774E0,9.591832725E0
6.260310490E-1,-9.248372167E-2,-2.597358227E-1,9.607329369E0,9.611284697E0
6.284700600E-1,-1.116365045E-1,-2.645240426E-1,9.619298935E0,9.623582892E0
6.309087580E-1,-8.051322401E-2,-2.717063129E-1,9.619298935E0,9.623472279E0
6.333481330E-1,-1.044542119E-1,-2.621299326E-1,9.626482010E0,9.630616734E0
6.357873520E-1,-9.008961916E-2,-2.621299326E-1,9.669576645E0,9.673548508E0
6.382260490E-1,-1.164247096E-1,-2.525535226E-1,9.681546211E0,9.685539481E0
6.406652680E-1,-1.044542119E-1,-2.357948273E-1,9.683939934E0,9.687373355E0
6.431042790E-1,-1.044542119E-1,-2.453712225E-1,9.674364090E0,9.678038968E0
6.455430290E-1,-9.487781674E-2,-2.693122029E-1,9.691122055E0,9.695327614E0
6.479822470E-1,-8.530142903E-2,-2.525535226E-1,9.667181015E0,9.670855618E0
6.504216740E-1,-8.530142903E-2,-2.597358227E-1,9.628876686E0,9.632756888E0
6.528614140E-1,-1.092424095E-1,-2.357948273E-1,9.571416855E0,9.574944058E0
6.553008410E-1,-1.140306070E-1,-2.310066223E-1,9.566629410E0,9.570097455E0
6.577399040E-1,-9.727191925E-2,-2.501594424E-1,9.573812485E0,9.577574174E0
6.601797470E-1,-9.008961916E-2,-2.525535226E-1,9.597753525E0,9.601498432E0
6.626188100E-1,-9.008961916E-2,-2.741004229E-1,9.590570450E0,9.594909522E0
6.650574040E-1,-9.487781674E-2,-2.621299326E-1,9.624088287E0,9.628124909E0
6.674967790E-1,-9.487781674E-2,-2.549476326E-1,9.655211449E0,9.659042821E0
6.699357890E-1,-9.727191925E-2,-2.764945030E-1,9.693517685E0,9.697948038E0
6.723751120E-1,-1.068483144E-1,-2.357948273E-1,9.695911407E0,9.699366669E0
6.748141220E-1,-1.020601094E-1,-2.573417425E-1,9.705487251E0,9.709434784E0
6.772528200E-1,-9.966601431E-2,-2.669181228E-1,9.695911407E0,9.700096733E0
6.796925080E-1,-7.811912894E-2,-2.669181228E-1,9.626482010E0,9.630498625E0
6.821318830E-1,-1.068483144E-1,-2.525535226E-1,9.616905212E0,9.620814192E0
6.845710490E-1,-1.188188046E-1,-2.429771274E-1,9.607329369E0,9.611135905E0
6.870104770E-1,-9.727191925E-2,-2.525535226E-1,9.585782051E0,9.589601798E0
6.894498520E-1,-1.020601094E-1,-2.477653325E-1,9.583388329E0,9.587133867E0
6.918897990E-1,-1.116365045E-1,-2.525535226E-1,9.583388329E0,9.587365532E0
6.943291740E-1,-1.307892948E-1,-2.573417425E-1,9.588175774E0,9.592520278E0
6.967683410E-1,-8.290731907E-2,-2.262184322E-1,9.636057854E0,9.639069424E0
6.992086540E-1,-9.727191925E-2,-2.597358227E-1,9.657605171E0,9.661586938E0
7.016481330E-1,-8.530142903E-2,-2.788886130E-1,9.676757812E0,9.681151634E0
7.040871430E-1,-9.008961916E-2,-2.693122029E-1,9.662393570E0,9.666565817E0
7.065259970E-1,-8.769552410E-2,-2.693122029E-1,9.700698853E0,9.704832703E0
